--------- beginning of main
--------- beginning of system
05-21 23:01:43.720 24278 24278 I NCL     : [MF] addAll firstItem=z15.p94 size=2
05-21 23:01:43.735 24278 24278 I NCL     : [MF:LLadd cls=z15.b60]
05-21 23:01:43.853 24278 24278 I NCL     : [MF:LLadd cls=z15.z50] d=LauncherUI e=378a543b-f765-47b1-a68c-7291eb1c3ee4
05-21 23:01:43.878 24278 24819 I NCL     : [MF:LLadd cls=com.tencent.mm.plugin.sns.storage.m] a=鎶曡瘔 b=Report c=鎶曡ù d=https://mp.weixin.qq.com/promotion/res/htmledition/mobile/html/feedback.html
05-21 23:01:43.894 24278 24819 I NCL     : [MF] addAll firstItem=la4.p size=1
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.methods]  [d=0] getCommentList() -> java.util.LinkedList
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] I0 -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] J0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] K0 -> CharSequence
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] M0 -> z3
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] N0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] O0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] P0 -> ng4
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] Q0 -> c
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] S0 -> long
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] T0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] V0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] Y0 -> Boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] Z0 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] b1 -> SnsInfo
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] c1 -> SnsObject
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] d1 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] f1 -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] getCommentList -> LinkedList
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] getPostInfo -> og4
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] h1 -> TimeLineObject
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] i1 -> s2
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isAd -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isDieItem -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isInValid -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isSecurityNeedVerifyDieItem -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isSecurityPassDieItem -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] isWsFold -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] j1 -> q86
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] k1 -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] m1 -> boolean
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] n1 -> void
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] o1 -> void
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] p1 -> void
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] q1 -> void
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=0] toString -> String
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] convertTo -> ContentValues
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getCreateTime -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getDBInfo -> e0
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getHead -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getLikeFlag -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getLocalFlag -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getLocalPrivate -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getObserverOwner -> e
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getPostBuf -> byte[]
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getPravited -> int
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getPrimaryKeyValue -> Object
05-21 23:01:43.896 24278 24819 I NCL     : [D2D3:la4p.allmethods] class=la4.p  [d=1] getSourceType -> int
