--------- beginning of main
--------- beginning of system
06-25 06:43:22.651 I/NCL     (28561): [CF:uin-diag] cls=com.tencent.mm.storage.l4 getTableName()=rconversation h1()=newsapp getTableName()=rconversation
06-25 06:43:22.652 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.feature.performance.adpf.z]
06-25 06:43:22.654 I/NCL     (28561): [MF:LLadd cls=i41.z5]
06-25 06:43:22.657 I/NCL     (28561): [CF:uin] S0()=47 鈫?wxid_ay5u461v6kmo12 cls=com.tencent.mm.storage.l4
06-25 06:43:22.658 I/NCL     (28561): [CF:filter] label=L4collect active=false items=13
06-25 06:43:22.658 I/NCL     (28561): [CF:L4] entry adapter=v0 cleaning=false state=V
06-25 06:43:22.658 I/NCL     (28561): [CF:L4] cleaned=0
06-25 06:43:22.658 I/NCL     (28561): [CF:L4] entry adapter=v0 cleaning=false state=V
06-25 06:43:22.658 I/NCL     (28561): [BUS:focus-H] notified adapter=v0 cache=0
06-25 06:43:22.660 I/NCL     (28561): [SF:ALLseen] #18 addAll first=com.android.org.conscrypt.OpenSSLX509Certificate size=2
06-25 06:43:22.661 I/NCL     (28561): [MF] addAll firstItem=com.android.org.conscrypt.OpenSSLX509Certificate size=2
06-25 06:43:22.684 I/NCL     (28561): [MF:LLadd cls=sn0.q]
06-25 06:43:22.700 I/NCL     (28561): [MF:LLadd cls=z15.er]
06-25 06:43:22.749 I/NCL     (28561): [MF:LLadd cls=z15.lt3] d=MainUI g=
06-25 06:43:22.808 I/NCL     (28561): [MF:LLadd cls=z15.zo5]
06-25 06:43:22.820 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.pluginsdk.res.downloader.model.n0] field_filePath=/data/user/0/com.tencent.mm/MicroMsg/CheckResUpdate/103.1.data field_fileVersion=126 field_groupId1=CheckResUpdate field_groupId2=CGI field_md5=82bfcf4a45175442cc81a53742bb1f13 field_originalMd5=813fff5348ee8904b49310f160b090b4 field_sampleId= field_url=http://dldir1v6.qq.com/weixin/checkresupdate1/output_74e82b4d23eb4b1a98d661e903111986.zip field_urlKey=103.1.data COL_ROWID=rowid FIELD_PREFIX=field_ SYSTEM_ROWID_FIELD=rowid TAG=MicroMsg.SDK.IAutoDBItem
06-25 06:43:22.834 I/NCL     (28561): [MF:LLadd cls=jx0.k] e=748866c9f0ccc236eaf43a0c3d37feb93c637819 f=748866c9f0ccc236eaf43a0c3d37feb93c637819
06-25 06:43:22.884 I/NCL     (28561): [MF:LLadd cls=a33.m4] d=commlib
06-25 06:43:22.887 I/NCL     (28561): [MF:LLadd cls=a33.y5] d=^(http://|https://)dlied[4|5].myapp.com/myapp/[\d]*/[^\s]*/[^\s]*.apk$
06-25 06:43:22.888 I/NCL     (28561): [MF:LLadd cls=a33.q4] d=uin e=X-WECHAT-UIN
06-25 06:43:22.888 I/NCL     (28561): [MF:LLadd cls=pp0.t0]
06-25 06:43:22.888 I/NCL     (28561): [MF:LLadd cls=rp0.a]
06-25 06:43:22.888 I/NCL     (28561): [MF:LLadd cls=op0.p4]
06-25 06:43:22.889 I/NCL     (28561): [MF:LLadd cls=a33.r5] d=home e=娓告垙鍦?f=#232323 g=#00A6A6 h=#ffffff i=#6DD9D9 m=https://mmgame.qpic.cn/image/e0d378dd29e82bb0c4748f8413ec0a40d6a2fb5e220e65909f1380aa2c56b051/0 n=https://mmgame.qpic.cn/image/054ddb7f9d1e8c9b0784b0149ed6ec62e5c4518165d0759f5f5e1dab8aee009c/0 o=https://mmgame.qpic.cn/image/a30b494e6568363ba7c62ad6c729dee4b94e2e30c98065c8a3e524710b4f058b/0 p=https://mmgame.qpic.cn/image/994231ed694333d80da62e7a296a6e1e4583ec15c09eda40588fb812e82858bb/0 r=https://game.weixin.qq.com/cgi-bin/h5/lite/litecenter/home.html?wechat_pkgid=lite_litecenter&abt=65&ssid=901&immersiveUIStyle=1&immersivePageBgIsDark=2&wechat_immersive=1&open_type=liteapp&ispreloadcgi=1
06-25 06:43:22.896 I/NCL     (28561): [MF:LLadd cls=a33.f0] d=缁勯槦娓告垙 f=zh_CN
06-25 06:43:22.896 I/NCL     (28561): [MF:LLadd cls=z15.ke0]
06-25 06:43:22.897 I/NCL     (28561): [MF:LLadd cls=a33.i] e=groupbattle i=https://game.weixin.qq.com/cgi-bin/h5/static/gamelife/openminiprogram.html n=https://mmgame.qpic.cn/image/1463e3451c1e3da280d8529f9b1cb55616946dfd78578136eecab5f61bf7a873/0 o=https://mmgame.qpic.cn/image/e0669fc8b3293785ec1030edfd7aa968a7f6badcc6dff3c577598a5e9edbea2b/0
06-25 06:43:22.898 I/NCL     (28561): [MF:LLadd cls=z15.lv0]
06-25 06:43:22.902 I/NCL     (28561): [MF:LLadd cls=a33.z] d=zh_CN e=寰呭鏂瑰洖澶嶅悗锛屾墠鍙彂閫佸浘鐗囨垨瑙嗛銆?
06-25 06:43:22.902 I/NCL     (28561): [MF:LLadd cls=a33.h5]
06-25 06:43:22.911 I/NCL     (28561): [SF:ALLseen] #19 addAll first=iw5.g size=1
06-25 06:43:22.915 I/NCL     (28561): [MF:LLadd cls=a33.o3] f=https://game.weixin.qq.com/cgi-bin/h5/static/gamecenter/subscription_list.html?wechat_pkgid=gamecenter_subscription_list&ssid=5
06-25 06:43:22.915 I/NCL     (28561): [MF:LLadd cls=a33.e] d=wx95a3a4d7c627e07d e=鐜嬭€呰崳鑰€ f=com.tencent.tmgp.sgame g=鐜嬭€呰崳鑰€绮惧僵鏃跺埢
06-25 06:43:22.917 I/NCL     (28561): [MF:LLadd cls=a33.b6] d=GameLifeTabBarViewController
06-25 06:43:22.925 I/NCL     (28561): [MF:LLadd cls=a33.b5] e=com.tencent.tmgp.dfm
06-25 06:43:22.925 I/NCL     (28561): [MF:LLadd cls=a33.w4]
06-25 06:43:22.927 I/NCL     (28561): [SF:ALLseen] #20 addAll first=c.t.m.sapp.c.a size=1
06-25 06:43:22.927 I/NCL     (28561): [MF] addAll firstItem=c.t.m.sapp.c.a size=1
06-25 06:43:22.931 I/NCL     (28561): [MF] addAll firstItem=iw5.g size=1
06-25 06:43:22.933 I/NCL     (28561): [MF:LLadd cls=cs5.wj0] d=en e=
06-25 06:43:22.937 I/NCL     (28561): [MF:LLadd cls=com.tencent.mm.plugin.performance.watchdogs.z0] a=main
06-25 06:43:22.940 I/NCL     (28561): [MF:LLadd cls=cs5.yj0] d=https://res.wx.qq.com/t/fed_upload/3f215e83-a6c6-47e9-9834-37c48b5fc2f3/U+1F643.png m=15 p=https://res.wx.qq.com/t/fed_upload/3f215e83-a6c6-47e9-9834-37c48b5fc2f3/U+1F643.png q=
06-25 06:43:22.941 I/NCL     (28561): [MF:LLadd cls=cs5.tk0] e=http://wxapp.tc.qq.com/256/20350/stodownload?m=69b6da5abdade9ba32bc8dc60ef3d894&filekey=30350201010421301f0202010004025348041069b6da5abdade9ba32bc8dc60ef3d894020301f7d9040d00000004627466730000000132&hy=SH&storeid=56a3bcd140003550fcbafecca0000010000004f7e53482f93c1f157245ea95&bizid=1023 f=http://wxapp.tc.qq.com/256/20304/stodownload?m=069886a9423321e29acd8a88ad4a5130&filekey=30350201010421301f02020100040253480410069886a9423321e29acd8a88ad4a513002030388b0040d00000004627466730000000132&hy=SH&storeid=56a3bcd14000371a7cbafecca0000010000004f5053481f93a561572391670&bizid=1023 g= h=
06-25 06:43:22.941 I/NCL     (28561): [SF:ALLseen] #21 addAll first=com.tencent.mm.app.WeChatSplashActivity size=1
06-25 06:43:22.941 I/NCL     (28561): [MF] addAll firstItem=com.tencent.mm.app.WeChatSplashActivity size=1
06-25 06:43:22.958 I/NCL     (28561): [MF:LLadd cls=cs5.bj0] d=U+1F643 g=v1_89e357388487ef05315255a93c1edbf8 h=emoji_or_smiley_merge_title
06-25 06:43:22.962 I/NCL     (28561): [MF:LLadd cls=cs5.gk0] d=v1_2963e6acca191ea41762762fbe9d53e4 e=wxid_d3x7k0ysa9mf22 f=VSsxRjY0Mw== h=U+1F643
06-25 06:43:22.968 I/NCL     (28561): [MF:LLadd cls=ch4.x] d=U+1F643 g=v1_89e357388487ef05315255a93c1edbf8 h=emoji_or_smiley_merge_title
